# Crameri bukavu, sea half
-11000 26 51 51
-5500 26 51 51
-5000 27 56 63
-4500 29 62 78
-4000 31 70 95
-3500 33 78 113
-3000 36 89 137
-2500 40 102 156
-2000 44 115 173
-1500 48 126 186
-1000 56 138 198
-500 69 151 200
-400 82 163 201
-300 93 173 202
-250 106 184 203
-200 118 195 203
-150 135 207 206
-100 157 218 211
-50 182 231 218
-20 207 244 224
0 1 64 38
-0.01 1 64 38
0.01 150 150 150
300 163 163 163
900 186 186 186
1600 208 208 208
2400 226 226 226
3500 242 242 242
